key,context,font_role,note,ko-KR,en-US
codex.battle.usage.consumable,전투 카드 사용 규칙,body,,이벤트 보상으로 중복 획득할 수 있으며 효과 적용에 성공한 경우에만 1개를 소모합니다.,Copies can stack from event rewards and one is consumed only after a successful use.
codex.battle.empty_title,전투 카드 빈 상태 제목,title,,도감 항목 없음,No Codex Entries
codex.battle.empty_effect,전투 카드 빈 상태 설명,body,,표시 가능한 데이터가 없습니다.,No data is available.
ui.common.start,공통 버튼,body,,시작,START
ui.common.settings,공통 버튼,body,,설정,SETTINGS
ui.common.quit,공통 버튼,body,,종료,QUIT
ui.common.back,공통 버튼,body,,뒤로,BACK
ui.common.ok,공통 버튼,body,,확인,OK
ui.common.cancel,공통 버튼,body,,취소,CANCEL
ui.common.play,공통 버튼,body,,작전,OPERATION
ui.common.codex,공통 버튼,body,,도감,CODEX
ui.common.roster,공통 버튼,body,,대원,OPERATORS
ui.common.shop,공통 버튼,body,,상점,SHOP
ui.common.quest,공통 버튼,body,,임무,MISSIONS
ui.common.storage,공통 버튼,body,,창고,STORAGE
ui.common.base,공통 버튼,body,,거점,BASE
ui.common.recruit,공통 버튼,body,,모집,RECRUIT
ui.common.enemies,공통 버튼,body,,적,ENEMIES
ui.common.characters,공통 버튼,body,,캐릭터,CHARACTERS
ui.common.skills,공통 버튼,body,,기술,SKILLS
ui.common.items,공통 버튼,body,,아이템,ITEMS
ui.common.events,공통 버튼,body,,이벤트,EVENTS
ui.common.resources,공통 버튼,body,,자원,RESOURCES
ui.common.consumable_items,공통 버튼,body,,소모형 아이템,CONSUMABLE ITEMS
ui.common.tickets,공통 버튼,body,,티켓,TICKETS
ui.title.title,타이틀 페이지 제목,title,,타이틀,TITLE
ui.title.description,타이틀 페이지 설명,body,,PS260714,PS260714
ui.title.click_to_start,타이틀 시작 안내,body,,화면을 클릭하여 시작,CLICK ANYWHERE TO START
ui.title.notice,타이틀 공지 버튼,title,,공지,NOTICE
ui.title.notice_empty,타이틀 공지 빈 상태,body,,현재 등록된 공지가 없습니다,NO NOTICES AVAILABLE
ui.main.title,메인 페이지 제목,title,,메인,MAIN
ui.main.description,메인 페이지 설명,body,,로비 메뉴를 선택하세요,SELECT A LOBBY MENU
ui.main.attendance,메인 출석 버튼,body,,출석체크,ATTENDANCE
ui.attendance.title,출석 팝업 제목,title,,출석 보상,ATTENDANCE REWARDS
ui.attendance.description,출석 팝업 설명,body,,매일 접속하고 순서대로 다음 출석 보상을 받으세요,Log in each day and claim the next attendance reward.
ui.attendance.day,출석 일차,number,,{day}일차,DAY {day}
ui.attendance.claim,출석 수령 버튼,body,,보상 받기,CLAIM REWARD
ui.attendance.claimed,출석 수령 상태,body,,수령 완료,CLAIMED
ui.attendance.today,출석 현재 상태,body,,현재,CURRENT
ui.attendance.upcoming,출석 예정 상태,body,,예정,UPCOMING
ui.attendance.available,출석 수령 가능 안내,body,,다음 출석 보상을 받을 수 있습니다,The next attendance reward is ready to claim.
ui.attendance.completed_today,출석 당일 수령 완료 안내,body,,오늘의 출석 보상을 이미 받았습니다,Today's attendance reward has already been claimed.
ui.attendance.schedule_complete,출석 일정 완료 안내,body,,모든 출석 보상을 받았습니다,All attendance rewards have been claimed.
ui.attendance.next_reset,출석 다음 갱신 시간,number,,다음 갱신: {time},NEXT RESET: {time}
ui.attendance.not_ready,출석 데이터 준비 안내,body,,데이터 준비 중입니다,Attendance data is loading.
ui.attendance.not_configured,출석 설정 오류 안내,body,,출석 일정 설정이 올바르지 않습니다,The attendance schedule is not configured correctly.
ui.attendance.save_blocked,출석 저장 보호 안내,body,,손상된 저장 데이터 보호를 위해 수령할 수 없습니다,Claiming is blocked to protect damaged save data.
ui.attendance.clock_rollback,출석 시간 역행 안내,body,,시스템 시간이 이전 접속 시점보다 빠릅니다,The system date is earlier than the last recorded session.
ui.attendance.inventory_full,출석 보관 한도 안내,body,,아이템 보관 한도가 부족합니다,There is not enough inventory capacity for this reward.
ui.attendance.claim_success,출석 수령 성공 안내,body,,{reward} 수령 완료,Claimed {reward}.
ui.currency.soft,재화 이름,body,,인게임 크레딧,CREDITS
ui.currency.free,재화 이름,body,,무료 크레딧,FREE CREDIT
ui.currency.paid,재화 이름,body,,유료 크레딧,PAID CREDIT
ui.stage_select.title,스테이지 선택 페이지 제목,title,,던전 선택,DUNGEON SELECT
ui.stage_select.description,스테이지 선택 페이지 설명,body,,던전 분류를 선택하세요.,SELECT A DUNGEON CATEGORY
ui.stage_select.tutorial_field,스테이지 선택 버튼,body,,튜토리얼 필드,TUTORIAL FIELD
ui.stage_select.practice_battle,스테이지 선택 버튼,body,,연습 전투,PRACTICE BATTLE
ui.stage_select.free_battle,스테이지 선택 버튼,body,,무제한,UNLIMITED RUN
ui.stage_select.tutorial_field.description,던전 상세 설명,body,,기본 조작과 전투 흐름을 단계별로 익힙니다.,Learn the controls and battle flow step by step.
ui.stage_select.practice_battle.description,던전 상세 설명,body,,시간과 승패 제한 없이 캐릭터·적·카드를 자유롭게 시험합니다.,Freely test characters enemies and cards without a time limit or automatic result.
ui.stage_select.free_battle.description,던전 상세 설명,body,,제한 없이 반복해서 도전하는 기본 던전 모드입니다.,The standard unrestricted dungeon mode for repeated runs.
ui.dungeon_select.title,던전 선택 페이지 제목,title,,던전 선택,DUNGEON SELECT
ui.dungeon_select.description,던전 선택 페이지 설명,body,,플레이할 던전 분류를 선택하세요.,SELECT A CATEGORY TO PLAY
ui.dungeon_select.category.debug_room,던전 대분류 제목,title,,디버그 룸,DEBUG ROOM
ui.dungeon_select.category.debug_room.description,던전 대분류 설명,body,,튜토리얼과 연습 전투로 전투 시스템을 익히고 시험합니다.,Learn and test the battle system through tutorial and practice modes.
ui.dungeon_select.category.free,던전 대분류 제목,title,,자유,FREE
ui.dungeon_select.category.free.description,던전 대분류 설명,body,,무제한 던전 모드에 진입합니다.,Enter the unrestricted dungeon mode.
ui.dungeon_select.enter,던전 입장 버튼,body,,던전 입장,ENTER DUNGEON
ui.dungeon_select.cleared,던전 진행 상태,body,,클리어 {count}회,CLEARED {count}
ui.dungeon_select.not_cleared,던전 진행 상태,body,,미클리어,NOT CLEARED
ui.dungeon_select.no_progress,던전 진행 상태,body,,진행도 저장 없음,NO PROGRESS SAVE
ui.dungeon_select.battle_count,던전 규칙,body,,전투 {minimum}~{maximum}회,{minimum}-{maximum} BATTLES
ui.dungeon_select.practice_rules,던전 규칙,body,,시간 제한 없음 · 보상 없음 · 진행도 저장 없음,NO TIME LIMIT · NO REWARDS · NO PROGRESS SAVE
ui.dungeon_select.standard_rules,던전 규칙,body,,캐릭터 선택 · 아이템 · 보상,CHARACTER SELECTION · ITEMS · REWARDS
ui.practice.title,연습 전투 패널 제목,title,,연습 전투,PRACTICE
ui.practice.control,연습 전투 컨트롤 패널 열기 버튼,body,,컨트롤,CONTROL
ui.practice.characters,연습 전투 패널 탭,body,,캐릭터,CHARACTERS
ui.practice.enemies,연습 전투 패널 탭,body,,적,ENEMIES
ui.practice.cards,연습 전투 패널 탭,body,,카드,CARDS
ui.practice.search_placeholder,연습 전투 목록 검색 입력,body,,이름 또는 ID,NAME OR ID
ui.practice.place,연습 전투 캐릭터 조작,body,,배치,PLACE
ui.practice.remove_character,연습 전투 캐릭터 조작,body,,캐릭터 제거,REMOVE CHARACTER
ui.practice.direct,연습 전투 적 생성 방식,body,,즉시,DIRECT
ui.practice.empty,연습 전투 빈 목록 안내,body,,표시할 항목이 없습니다,NO ENTRIES
ui.practice.spawn_one,연습 전투 적 생성 버튼,body,,1기 생성,SPAWN 1
ui.practice.spawn_five,연습 전투 적 생성 버튼,body,,5기 생성,SPAWN 5
ui.practice.queue,연습 전투 적 생성 방식,body,,대기열,QUEUE
ui.practice.add_to_hand,연습 전투 카드 조작,body,,손패에 추가,ADD TO HAND
ui.practice.clear_enemies,연습 전투 초기화 조작,body,,적 전체 제거,CLEAR ENEMIES
ui.practice.restore_party,연습 전투 초기화 조작,body,,파티 복구,RESTORE PARTY
ui.practice.restore_core,연습 전투 초기화 조작,body,,방어선 복구,RESTORE CORE
ui.practice.refill_energy,연습 전투 초기화 조작,body,,에너지 충전,REFILL ENERGY
ui.practice.reset,연습 전투 초기화 조작,body,,전체 초기화,RESET
ui.practice.exit,연습 전투 종료 조작,body,,연습 종료,EXIT PRACTICE
ui.practice.infinite_time,연습 전투 시간 표시,number,,무제한,NO TIME LIMIT
ui.practice.unavailable,연습 전투 오류 안내,body,,현재 사용할 수 없습니다,UNAVAILABLE
ui.practice.board_full,연습 전투 오류 안내,body,,적 배치 공간이 가득 찼습니다,ENEMY FORMATION IS FULL
ui.practice.selection_pending,연습 전투 오류 안내,body,,진행 중인 대상 선택을 먼저 완료하세요,COMPLETE THE ACTIVE TARGET SELECTION FIRST
ui.practice.debug_on,연습 전투 디버그 표시 조작,body,,디버그 표시 켜기,DEBUG ON
ui.practice.debug_off,연습 전투 디버그 표시 조작,body,,디버그 표시 끄기,DEBUG OFF
ui.loading.preparing,공용 로딩 안내,body,,콘텐츠 준비 중,PREPARING CONTENT
ui.tutorial.choice,튜토리얼 안내,body,,첫 번째 선택지를 눌러 전투에 배치할 캐릭터를 선택하세요.,PRESS THE FIRST CHOICE TO SELECT THE CHARACTER TO DEPLOY
ui.tutorial.field,튜토리얼 안내,body,,필드는 적이 배치되고 캐릭터가 공격하는 전투 공간입니다.,THE FIELD IS WHERE ENEMIES ARE PLACED AND CHARACTERS ATTACK
ui.tutorial.queue,튜토리얼 안내,body,,대기열에는 앞으로 필드에 등장할 적이 순서대로 표시됩니다.,THE QUEUE SHOWS THE ENEMIES THAT WILL ENTER THE FIELD IN ORDER
ui.tutorial.character,튜토리얼 안내,body,,캐릭터는 자동으로 적을 공격하며 고유 능력과 스킬을 사용합니다.,CHARACTERS ATTACK AUTOMATICALLY AND USE THEIR UNIQUE ABILITIES AND SKILLS
ui.tutorial.item,튜토리얼 안내,body,,아이템은 전투 중 적이나 캐릭터를 대상으로 사용하는 보조 수단입니다.,ITEMS PROVIDE SUPPORT BY TARGETING ENEMIES OR CHARACTERS DURING BATTLE
ui.tutorial.timer,튜토리얼 안내,body,,타이머가 0이 되기 전에 모든 적을 처치해야 합니다.,DEFEAT EVERY ENEMY BEFORE THE TIMER REACHES ZERO
ui.tutorial.complete,튜토리얼 완료,title,,튜토리얼 완료,TUTORIAL COMPLETE
ui.tutorial.next,튜토리얼 버튼,body,,다음,NEXT
ui.tutorial.return,튜토리얼 버튼,body,,스테이지 선택으로,RETURN TO STAGE SELECT
ui.tutorial.start_battle,튜토리얼 버튼,body,,전투 시작,START BATTLE
ui.codex.title,도감 허브 제목,title,,도감,CODEX
ui.codex.description,도감 허브 설명,body,,적 | 캐릭터 | 기술 | 아이템,ENEMIES | CHARACTERS | SKILLS | ITEMS
ui.roster.title,대원 페이지 제목,title,,대원,OPERATORS
ui.roster.description,대원 페이지 설명,body,,보유 대원,OWNED OPERATORS
ui.roster.empty,대원 빈 상태,body,,보유 대원 없음,OWNED OPERATORS - EMPTY
ui.roster.search_placeholder,목록 검색 입력,body,,이름 또는 ID,NAME OR ID
ui.roster.search,목록 검색 버튼,body,,검색,SEARCH
ui.roster.filter_owned,목록 보유 필터,body,,보유만,OWNED
ui.roster.sort_name_ascending,목록 이름 정렬,body,,이름 오름차순,NAME A-Z
ui.roster.sort_name_descending,목록 이름 정렬,body,,이름 내림차순,NAME Z-A
ui.shop.title,상점 페이지 제목,title,,상점,SHOP
ui.shop.description,상점 페이지 설명,body,,던전 클리어 재화 상점,DUNGEON CLEAR CURRENCY SHOP
ui.shop.currency,상점 재화 표시,number,,던전 재화 - 0,DUNGEON CURRENCY - 0
ui.shop.coming_soon,상점 빈 상태,body,,상점 상품 - 준비 중,SHOP ITEMS - COMING SOON
ui.quest.title,임무 페이지 제목,title,,임무,MISSIONS
ui.quest.description,임무 페이지 설명,body,,임무 진행도,MISSION PROGRESS
ui.quest.empty,임무 빈 상태,body,,임무 목록 - 비어 있음,MISSION LIST - EMPTY
ui.storage.title,창고 페이지 제목,title,,창고,STORAGE
ui.storage.description,창고 페이지 설명,body,,자원 | 소모형 아이템 | 티켓,RESOURCES | CONSUMABLE ITEMS | TICKETS
ui.base.title,거점 페이지 제목,title,,거점,BASE
ui.base.description,거점 페이지 설명,body,,거점 관리 | 임무 | 기록,BASE MANAGEMENT | MISSIONS | RECORDS
ui.base.facilities_coming_soon,거점 빈 상태,body,,거점 시설 - 준비 중,BASE FACILITIES - COMING SOON
ui.recruit.title,모집 페이지 제목,title,,모집,RECRUIT
ui.recruit.description,모집 페이지 설명,body,,새로운 대원을 모집합니다,RECRUIT NEW OPERATORS
ui.recruit.coming_soon,모집 빈 상태,body,,모집 시스템 - 준비 중,RECRUITMENT - COMING SOON
ui.settings.title,설정 페이지 제목,title,,설정,SETTINGS
ui.settings.quit_game,설정 종료 버튼,body,,게임 종료,QUIT GAME
ui.settings.quit_confirm_title,종료 확인 제목,title,,게임을 종료하시겠습니까?,QUIT GAME?
ui.settings.quit_confirm_message,종료 확인 설명,body,,정말 게임을 종료하시겠습니까?,Are you sure you want to quit?
ui.settings.local_data.title,로컬 데이터 관리 제목,title,,캐시 데이터 삭제,DELETE LOCAL DATA
ui.settings.local_data.description,로컬 데이터 관리 설명,body,,대원 보유 정보와 재화 및 아이템 그리고 모든 설정을 삭제합니다.,Deletes all locally saved operators currencies items and settings.
ui.settings.local_data.delete,로컬 데이터 삭제 버튼,body,,삭제,DELETE
ui.settings.local_data.confirm_first_title,로컬 데이터 1차 확인 제목,title,,로컬 데이터 삭제,DELETE LOCAL DATA?
ui.settings.local_data.confirm_first_message,로컬 데이터 1차 확인 설명,body,,대원 보유 정보와 재화 및 아이템 그리고 모든 설정이 삭제됩니다.,All locally saved operators currencies items and settings will be deleted.
ui.settings.local_data.continue,로컬 데이터 확인 계속 버튼,body,,계속,CONTINUE
ui.settings.local_data.confirm_final_title,로컬 데이터 2차 확인 제목,title,,정말 삭제하시겠습니까?,DELETE EVERYTHING?
ui.settings.local_data.confirm_final_message,로컬 데이터 2차 확인 설명,body,,삭제한 데이터는 복구할 수 없습니다. 삭제 후 게임이 종료됩니다.,Deleted data cannot be recovered. The game will close after deletion.
ui.settings.local_data.delete_all,로컬 데이터 최종 삭제 버튼,body,,모두 삭제,DELETE ALL
ui.settings.tab.display,설정 탭,body,,화면,DISPLAY
ui.settings.tab.sound,설정 탭,body,,소리,SOUND
ui.settings.tab.game,설정 탭,body,,게임,GAME
ui.settings.tab.misc,설정 탭,body,,기타,MISC
ui.settings.section.display,설정 섹션,body,,화면 설정,DISPLAY SETTINGS
ui.settings.section.sound,설정 섹션,body,,소리 설정,SOUND SETTINGS
ui.settings.section.game,설정 섹션,body,,게임 설정,GAME SETTINGS
ui.settings.section.misc,설정 섹션,body,,기타 설정,MISC SETTINGS
ui.settings.resolution,화면 설정 라벨,body,,해상도,RESOLUTION
ui.settings.display_mode,화면 설정 라벨,body,,화면 모드,DISPLAY MODE
ui.settings.frame_rate,화면 설정 라벨,body,,프레임률,FRAME RATE
ui.settings.brightness,화면 설정 라벨,body,,밝기,BRIGHTNESS
ui.settings.master_volume,소리 설정 라벨,body,,전체 음량,MASTER
ui.settings.music_volume,소리 설정 라벨,body,,음악,MUSIC
ui.settings.sfx_volume,소리 설정 라벨,body,,효과음,SFX
ui.settings.ui_volume,소리 설정 라벨,body,,UI,UI
ui.settings.mute_background,소리 설정 라벨,body,,백그라운드 상태에서 음소거,MUTE WHEN GAME IS IN BACKGROUND
ui.settings.option,드롭다운 기본 항목,body,,옵션,OPTION
ui.settings.mode.fullscreen,화면 모드 선택지,body,,전체 화면,FULLSCREEN
ui.settings.mode.borderless,화면 모드 선택지,body,,테두리 없는 창,BORDERLESS
ui.settings.mode.windowed,화면 모드 선택지,body,,창 모드,WINDOWED
ui.settings.fps.unlimited,프레임률 선택지,body,,제한 없음,UNLIMITED
ui.settings.font_auto,글꼴 선택지,body,,자동,AUTO
ui.dungeon.event,던전 탭,body,,이벤트,EVENT
ui.dungeon.rest,던전 탭,body,,휴식,REST
ui.dungeon.party_info,던전 HUD 제목,title,,파티 정보,PARTY INFO
ui.dungeon.enemy_queue,던전 HUD 제목,title,,적 대기열,ENEMY QUEUE
ui.dungeon.pause,던전 상태,body,,일시정지,PAUSE
ui.dungeon.resume,던전 상태,body,,계속,RESUME
ui.dungeon.return_to_stage,던전 일시정지 버튼,body,,스테이지로 돌아가기,RETURN TO STAGE
ui.dungeon.defeat,던전 상태,title,,패배,DEFEAT
ui.dungeon.energy_full,에너지 상태,number,,가득 참,FULL
ui.dungeon.energy_recharge,에너지 상태,number,,+1까지 {seconds:0.0}초,+1 IN {seconds:0.0}s
ui.dungeon.energy_status,에너지 HUD,number,,에너지 {current}/{max} | {recharge},ENERGY {current}/{max} | {recharge}
ui.dungeon.energy_scale,에너지 HUD,number,,에너지 {current}/{max} | {recharge} | 난이도 {scale},ENERGY {current}/{max} | {recharge} | SCALE {scale}
ui.dungeon.queue.board_full,적 대기열 상태,body,,필드 가득 참 | {count}기 대기,BOARD FULL | {count} WAITING
ui.dungeon.queue.empty,적 대기열 상태,body,,대기열 비어 있음,QUEUE EMPTY
ui.dungeon.queue.next,적 대기열 상태,number,,다음 {seconds:0.0}초 | {count}기 대기,NEXT {seconds:0.0}s | {count} WAITING
ui.dungeon.queue.enemy,적 대기열 항목,number,,{name} | HP {health},{name} | HP {health}
ui.dungeon.queue.enemy_empty,적 대기열 항목,number,,HP -,HP -
ui.dungeon.item_hand,아이템 패 제목,title,,아이템 패,ITEM HAND
ui.dungeon.item_select_enemy,아이템 대상 안내,body,,{item}: 적 선택,{item}: SELECT ENEMY
ui.dungeon.item_select_turret,아이템 대상 안내,body,,{item}: 터렛 선택,{item}: SELECT TURRET
ui.dungeon.item_card_header,아이템 카드 머리말,number,,{name} · C{cost},{name} · C{cost}
ui.dungeon.item_reusable,아이템 카드 상태,body,,재사용 가능 | 쿨다운 {cooldown:0.#}초,REUSABLE | CD {cooldown:0.#}s
ui.dungeon.item_consumable,아이템 카드 상태,body,,소모형,CONSUMABLE
ui.dungeon.item_count,아이템 카드 상태,number,,x{count},x{count}
ui.dungeon.item_cooldown,아이템 카드 상태,number,,쿨다운 {cooldown:0.0}초,CD {cooldown:0.0}s
ui.dungeon.item_disposable,아이템 카드 수명,body,,일회용 · 사용 시 덱에서 제거,DISPOSABLE · REMOVED FROM DECK ON USE
ui.dungeon.item_reusable_limited,아이템 카드 수명,body,,다회용 · 전투당 {uses}회 · 다음 전투 회복,REUSABLE · {uses} PER BATTLE · RESTORES NEXT BATTLE
ui.dungeon.item_reusable_unlimited,아이템 카드 수명,body,,다회용 · 무한 사용,REUSABLE · UNLIMITED USES
ui.dungeon.item_restore_next_battle,아이템 카드 상태,body,,다음 전투 회복,RESTORES NEXT BATTLE
ui.dungeon.item_scope_battle,아이템 효과 범위,body,,전투,BATTLE
ui.dungeon.item_scope_dungeon,아이템 효과 범위,body,,던전,DUNGEON
ui.dungeon.item_duration_permanent,아이템 효과 지속,body,,영구,PERMANENT
ui.character.compact_summary,캐릭터 요약,number,,공격력 {attack:0.##} | 기술 C{cost} ×{count},ATK {attack:0.##} | SKILL C{cost} ×{count}
codex.character.title,캐릭터 도감 제목,title,,캐릭터 도감,CHARACTER CODEX
codex.character.description,캐릭터 도감 설명,body,,캐릭터 탭을 선택해 정보를 확인하세요,SELECT A CHARACTER TAB TO VIEW ITS INFORMATION
codex.character.normal_attack,캐릭터 도감 섹션,title,,일반 공격,NORMAL ATTACK
codex.character.passive,캐릭터 도감 섹션,title,,패시브,PASSIVE
codex.character.active_skill,캐릭터 도감 섹션,title,,액티브 기술,ACTIVE SKILL
codex.character.active_skill_cost,캐릭터 도감 섹션,number,,액티브 기술 · 코스트 {cost},ACTIVE SKILL · COST {cost}
codex.character.identity,캐릭터 도감 식별 정보,body,,에셋 {asset},ASSET {asset}
codex.character.empty_title,캐릭터 도감 빈 상태,title,,캐릭터 데이터 없음,NO CHARACTER DATA
codex.character.empty_body,캐릭터 도감 빈 상태,body,,사용 가능한 캐릭터 정의가 없습니다.,NO CHARACTER DEFINITIONS ARE AVAILABLE.
ui.turret.skill_header,터렛 기술 툴팁,number,,액티브 기술 · C{cost} · {status},ACTIVE SKILL · C{cost} · {status}
ui.turret.click_activate,터렛 기술 툴팁,body,,액티브 아이콘을 클릭해 발동,CLICK THE ACTIVE ICON TO ACTIVATE
ui.turret.status.active,터렛 상태,body,,발동 중,ACTIVE
ui.turret.status.ready,터렛 상태,body,,사용 가능,READY
ui.turret.status.not_enough_energy,터렛 상태,body,,에너지 부족,NOT ENOUGH ENERGY
ui.turret.name,터렛 슬롯 정보,number,,{name} · C{cost},{name} · C{cost}
ui.turret.cooldown.stop,터렛 쿨다운,number,,기절 {seconds:0.0}초,STUN {seconds:0.0}s
ui.turret.cooldown.recovery,터렛 쿨다운,number,,회복 {seconds:0.0}초,RECOVERY {seconds:0.0}s
ui.turret.cooldown.wait,터렛 쿨다운,number,,쿨다운 {seconds:0.0}초,CD {seconds:0.0}s
enemy.basic.name,적 이름,title,,기본,BASIC
enemy.assault.name,적 이름,title,,돌격병,ASSAULT
enemy.heavy.name,적 이름,title,,중장갑,HEAVY
enemy.medic.name,적 이름,title,,의무병,MEDIC
enemy.mechanic.name,적 이름,title,,정비공,MECHANIC
enemy.pointman.name,적 이름,title,,선봉대,POINTMAN
enemy.shield_bearer.name,적 이름,title,,방패병,SHIELD BEARER
enemy.infiltrator.name,적 이름,title,,잠입병,INFILTRATOR
codex.enemy.title,적 도감 제목,title,,적 도감,ENEMY CODEX
codex.enemy.description,적 도감 설명,body,,적 탭을 선택해 정보를 확인하세요,SELECT AN ENEMY TAB TO VIEW ITS INFORMATION
codex.enemy.ability,적 도감 섹션,title,,능력,ABILITY
codex.enemy.identity,적 도감 식별 정보,body,,ID {id} | 등급 {grade} | 유형 {type},ID {id} | GRADE {grade} | TYPE {type}
codex.enemy.stats,적 도감 능력치,number,,기본 체력 {health} | 위협도 {threat:0.##}[br]생성 간격 x{interval:0.##} | 타겟 우선순위 {priority},BASE HEALTH {health} | THREAT {threat:0.##}[br]SPAWN INTERVAL x{interval:0.##} | TARGET PRIORITY {priority}
codex.enemy.priority.normal,적 타겟 우선순위,body,,일반,NORMAL
codex.enemy.priority.excluded,적 타겟 우선순위,body,,제외,EXCLUDED
codex.enemy.grade.normal,적 등급,body,,일반,NORMAL
codex.enemy.grade.special,적 등급,body,,특수,SPECIAL
codex.enemy.grade.elite,적 등급,body,,정예,ELITE
codex.enemy.grade.boss,적 등급,body,,보스,BOSS
codex.enemy.ability.basic,적 능력 설명,body,,특수 능력이 없습니다.,NO SPECIAL ABILITY.
codex.enemy.ability.assault,적 능력 설명,body,,신속 배치[br]생성 간격이 x{interval:0.##}로 변경됩니다.,RAPID DEPLOYMENT[br]SPAWN INTERVAL IS MULTIPLIED BY {interval:0.##}.
codex.enemy.ability.heavy,적 능력 설명,body,,방어[br]처음 {hits}회의 피격 피해가 1로 감소합니다.,GUARD[br]THE FIRST {hits} HITS ARE REDUCED TO 1 DAMAGE.
codex.enemy.ability.medic,적 능력 설명,body,,야전 치료[br]{cooldown:0.#}초마다 상하좌우로 인접한 적을 각각 {power} 회복합니다.,"FIELD HEAL[br]EVERY {cooldown:0.#}s, HEALS EACH ORTHOGONALLY ADJACENT ENEMY BY {power}."
codex.enemy.ability.mechanic,적 능력 설명,body,,시스템 기절[br]{cooldown:0.#}초마다 공격력이 가장 높은 터렛을 {duration:0.#}초 동안 기절시킵니다.,"SYSTEM STUN[br]EVERY {cooldown:0.#}s, STUNS THE HIGHEST-DAMAGE TURRET FOR {duration:0.#}s."
codex.enemy.ability.pointman,적 능력 설명,body,,대형 진입[br]동료 {count}기와 함께 생성됩니다.,FORMATION ENTRY[br]SPAWNS TOGETHER WITH {count} COMPANIONS.
codex.enemy.ability.shield_bearer,적 능력 설명,body,,방패 대형[br]최대 체력의 {armor:0.#}%만큼 방어력을 얻고 인접한 적의 피해를 대신 받습니다.,SHIELD FORMATION[br]STARTS WITH {armor:0.#}% MAX HP AS ARMOR AND TAKES DAMAGE FOR ADJACENT ENEMIES.
codex.enemy.ability.infiltrator,적 능력 설명,body,,은신[br]다른 유효한 대상이 있으면 일반 타겟 우선순위에서 제외됩니다.,STEALTH[br]EXCLUDED FROM NORMAL TARGET PRIORITY WHILE ANOTHER VALID TARGET EXISTS.
codex.enemy.empty_title,적 도감 빈 상태,title,,적 데이터 없음,NO ENEMY DATA
