key,context,font_role,note,ko-KR,en-US
ui.settings.mode.windowed,화면 모드 선택지,body,,창 모드,WINDOWED
ui.settings.fps.unlimited,프레임률 선택지,body,,제한 없음,UNLIMITED
ui.settings.font_auto,글꼴 선택지,body,,자동,AUTO
ui.dungeon.event,던전 탭,body,,이벤트,EVENT
ui.dungeon.rest,던전 탭,body,,휴식,REST
ui.dungeon.party_info,던전 HUD 제목,title,,파티 정보,PARTY INFO
ui.dungeon.enemy_queue,던전 HUD 제목,title,,적 대기열,ENEMY QUEUE
ui.dungeon.pause,던전 상태,body,,일시정지,PAUSE
ui.dungeon.resume,던전 상태,body,,계속,RESUME
ui.dungeon.defeat,던전 상태,title,,패배,DEFEAT
ui.dungeon.energy_full,에너지 상태,number,,가득 참,FULL
ui.dungeon.energy_recharge,에너지 상태,number,,"+1까지 {seconds:0.0}초","+1 IN {seconds:0.0}s"
ui.dungeon.energy_status,에너지 HUD,number,,"에너지 {current}/{max} | {recharge}","ENERGY {current}/{max} | {recharge}"
ui.dungeon.energy_scale,에너지 HUD,number,,"에너지 {current}/{max} | {recharge} | 난이도 {scale}","ENERGY {current}/{max} | {recharge} | SCALE {scale}"
ui.dungeon.energy_tutorial,에너지 HUD,tooltip,,"에너지 {current}/{max} | {recharge} | 난이도 {scale}[br]튜토리얼: 터렛에 마우스를 올려 기술 정보 확인 | 터렛을 클릭해 기술 사용","ENERGY {current}/{max} | {recharge} | SCALE {scale}[br]TUTORIAL: HOVER A TURRET FOR SKILL INFO | CLICK A TURRET TO USE ITS SKILL"
ui.dungeon.queue.board_full,적 대기열 상태,body,,"필드 가득 참 | {count}기 대기","BOARD FULL | {count} WAITING"
ui.dungeon.queue.empty,적 대기열 상태,body,,대기열 비어 있음,QUEUE EMPTY
ui.dungeon.queue.next,적 대기열 상태,number,,"다음 {seconds:0.0}초 | {count}기 대기","NEXT {seconds:0.0}s | {count} WAITING"
ui.dungeon.queue.enemy,적 대기열 항목,number,,"{name} | HP {health}","{name} | HP {health}"
ui.dungeon.queue.enemy_empty,적 대기열 항목,number,,HP -,HP -
ui.dungeon.item_hand,아이템 패 제목,title,,아이템 패,ITEM HAND
ui.dungeon.item_select_enemy,아이템 대상 안내,body,,"{item}: 적 선택","{item}: SELECT ENEMY"
ui.dungeon.item_select_turret,아이템 대상 안내,body,,"{item}: 터렛 선택","{item}: SELECT TURRET"
ui.dungeon.item_card_header,아이템 카드 머리말,number,,{name} · C{cost},{name} · C{cost}
ui.dungeon.item_reusable,아이템 카드 상태,body,,"재사용 가능 | 쿨다운 {cooldown:0.#}초","REUSABLE | CD {cooldown:0.#}s"
ui.dungeon.item_consumable,아이템 카드 상태,body,,소모형,CONSUMABLE
ui.dungeon.item_count,아이템 카드 상태,number,,x{count},x{count}
ui.dungeon.item_cooldown,아이템 카드 상태,number,,"쿨다운 {cooldown:0.0}초","CD {cooldown:0.0}s"
character.basic.name,캐릭터 이름,title,,기본 터렛,Basic Turret
character.dual.name,캐릭터 이름,title,,듀얼 터렛,Dual Tower
character.area.name,캐릭터 이름,title,,범위 터렛,Area Tower
character.flame.name,캐릭터 이름,title,,화염 터렛,Flame Tower
codex.character.title,캐릭터 도감 제목,title,,캐릭터 도감,CHARACTER CODEX
codex.character.description,캐릭터 도감 설명,body,,캐릭터 탭을 선택해 정보를 확인하세요,SELECT A CHARACTER TAB TO VIEW ITS INFORMATION
codex.character.normal_attack,캐릭터 도감 섹션,title,,일반 공격,NORMAL ATTACK
codex.character.active_skill,캐릭터 도감 섹션,title,,액티브 기술,ACTIVE SKILL
codex.character.active_skill_cost,캐릭터 도감 섹션,number,,액티브 기술 · 코스트 {cost},ACTIVE SKILL · COST {cost}
codex.character.identity,캐릭터 도감 식별 정보,body,,"에셋 {asset} | 유형 {type}","ASSET {asset} | TYPE {type}"
codex.character.stats.attack,캐릭터 도감 능력치,number,,"공격 피해 {attack} | 공격 쿨다운 {cooldown:0.#}초[br]기술 피해 {skill} | 위력 배율 x{weight:0.##}","ATTACK DAMAGE {attack} | ATTACK COOLDOWN {cooldown:0.#}s[br]SKILL DAMAGE {skill} | POWER WEIGHT x{weight:0.##}"
codex.character.stats.fire,캐릭터 도감 능력치,number,,"공격 쿨다운 {cooldown:0.#}초 | 화염 지속 {duration:0.#}초[br]화염 틱 {damage} 피해 / {interval:0.#}초 | 위력 배율 x{weight:0.##}","ATTACK COOLDOWN {cooldown:0.#}s | FIRE DURATION {duration:0.#}s[br]FIRE TICK {damage} DAMAGE / {interval:0.#}s | POWER WEIGHT x{weight:0.##}"
codex.character.attack.lowest,캐릭터 일반 공격 설명,body,,"우선순위 대상 중 체력이 가장 낮은 적에게 {damage} 피해를 줍니다.","DEALS {damage} DAMAGE TO THE LOWEST-HEALTH PRIORITY TARGET."
codex.character.attack.multiple,캐릭터 일반 공격 설명,body,,"우선순위 대상 중 무작위 {count}기에게 각각 {damage} 피해를 줍니다.","ATTACKS {count} RANDOM PRIORITY TARGETS FOR {damage} DAMAGE EACH."
codex.character.attack.cross,캐릭터 일반 공격 설명,body,,"체력이 가장 높은 적을 중심으로 십자 범위에 {damage} 피해를 줍니다.","ATTACKS THE CROSS-SHAPED AREA AROUND THE HIGHEST-HEALTH ENEMY FOR {damage} DAMAGE."
codex.character.attack.fire,캐릭터 일반 공격 설명,body,,"무작위 우선순위 대상 1기에게 {duration:0.#}초 화염을 부여합니다. 화염은 {interval:0.#}초마다 {damage} 피해를 줍니다.","APPLIES FIRE TO ONE RANDOM PRIORITY TARGET FOR {duration:0.#}s. FIRE DEALS {damage} DAMAGE EVERY {interval:0.#}s."
codex.character.skill.lowest,캐릭터 기술 설명,body,,"체력이 가장 낮은 적에게 즉시 {damage} 피해를 줍니다.","DEALS {damage} DAMAGE TO THE LOWEST-HEALTH ENEMY IMMEDIATELY."
codex.character.skill.multiple,캐릭터 기술 설명,body,,"{duration:0.#}초 동안 대상 수가 {count}기로 증가하고 각각 {damage} 피해를 줍니다.","FOR {duration:0.#}s, ATTACKS {count} TARGETS AND DEALS {damage} DAMAGE EACH."
codex.character.skill.cross,캐릭터 기술 설명,body,,"다음 {count}회 공격이 내부 십자에 {inner} 피해, 외곽과 대각선에 {outer} 피해를 줍니다.","THE NEXT {count} ATTACKS DEAL {inner} INNER-CROSS DAMAGE AND {outer} OUTER AND DIAGONAL DAMAGE."
codex.character.skill.fire,캐릭터 기술 설명,body,,"다음 {count}회 공격이 중심 {centers}곳을 선택해 각 3x3 범위에 {duration:0.#}초 화염을 부여합니다. 겹친 범위는 지속시간이 합산됩니다.","THE NEXT {count} ATTACKS CHOOSE {centers} CENTERS AND APPLY FIRE FOR {duration:0.#}s IN EACH 3x3 AREA. OVERLAPPING AREAS STACK DURATION."
codex.character.type.lowest,캐릭터 공격 유형,body,,최저 체력,LOWEST HEALTH
codex.character.type.multiple,캐릭터 공격 유형,body,,무작위 다중,RANDOM MULTIPLE
codex.character.type.cross,캐릭터 공격 유형,body,,십자 범위,CROSS AREA
codex.character.type.fire,캐릭터 공격 유형,body,,화염 상태,FIRE STATUS
codex.character.empty_title,캐릭터 도감 빈 상태,title,,캐릭터 데이터 없음,NO CHARACTER DATA
codex.character.empty_body,캐릭터 도감 빈 상태,body,,사용 가능한 캐릭터 정의가 없습니다.,NO CHARACTER DEFINITIONS ARE AVAILABLE.
ui.turret.skill_header,터렛 기술 툴팁,number,,액티브 기술 · C{cost} · {status},ACTIVE SKILL · C{cost} · {status}
ui.turret.click_activate,터렛 기술 툴팁,body,,터렛을 클릭해 발동,CLICK TURRET TO ACTIVATE
ui.turret.status.active,터렛 상태,body,,발동 중,ACTIVE
ui.turret.status.ready,터렛 상태,body,,사용 가능,READY
ui.turret.status.not_enough_energy,터렛 상태,body,,에너지 부족,NOT ENOUGH ENERGY
ui.turret.name,터렛 슬롯 정보,number,,{name} · C{cost},{name} · C{cost}
ui.turret.attack.fire,터렛 슬롯 정보,number,,"화염 {duration:0.#}초 | 기술 x{targets}","FIRE {duration:0.#}s | SK x{targets}"
ui.turret.attack.damage,터렛 슬롯 정보,number,,"공격 {attack} | 기술 {skill}","ATK {attack} | SK {skill}"
ui.turret.cooldown.stop,터렛 쿨다운,number,,"정지 {seconds:0.0}초","STOP {seconds:0.0}s"
ui.turret.cooldown.recovery,터렛 쿨다운,number,,"회복 {seconds:0.0}초","RECOVERY {seconds:0.0}s"
ui.turret.cooldown.active_time,터렛 쿨다운,number,,"발동 {seconds:0.0}초","ACTIVE {seconds:0.0}s"
ui.turret.cooldown.active_count,터렛 쿨다운,number,,발동 x{count},ACTIVE x{count}
ui.turret.cooldown.wait,터렛 쿨다운,number,,"쿨다운 {seconds:0.0}초","CD {seconds:0.0}s"
enemy.basic.name,적 이름,title,,기본,BASIC
enemy.assault.name,적 이름,title,,돌격병,ASSAULT
enemy.heavy.name,적 이름,title,,중장갑,HEAVY
enemy.medic.name,적 이름,title,,의무병,MEDIC
enemy.mechanic.name,적 이름,title,,정비공,MECHANIC
enemy.pointman.name,적 이름,title,,선봉대,POINTMAN
enemy.shield_bearer.name,적 이름,title,,방패병,SHIELD BEARER
enemy.infiltrator.name,적 이름,title,,잠입병,INFILTRATOR
codex.enemy.title,적 도감 제목,title,,적 도감,ENEMY CODEX
codex.enemy.description,적 도감 설명,body,,적 탭을 선택해 정보를 확인하세요,SELECT AN ENEMY TAB TO VIEW ITS INFORMATION
codex.enemy.ability,적 도감 섹션,title,,능력,ABILITY
codex.enemy.identity,적 도감 식별 정보,body,,"ID {id} | 등급 {grade} | 유형 {type}","ID {id} | GRADE {grade} | TYPE {type}"
codex.enemy.stats,적 도감 능력치,number,,"기본 체력 {health} | 위협도 {threat:0.##}[br]생성 간격 x{interval:0.##} | 타겟 우선순위 {priority}","BASE HEALTH {health} | THREAT {threat:0.##}[br]SPAWN INTERVAL x{interval:0.##} | TARGET PRIORITY {priority}"
codex.enemy.priority.normal,적 타겟 우선순위,body,,일반,NORMAL
codex.enemy.priority.excluded,적 타겟 우선순위,body,,제외,EXCLUDED
codex.enemy.grade.normal,적 등급,body,,일반,NORMAL
codex.enemy.grade.special,적 등급,body,,특수,SPECIAL
codex.enemy.grade.elite,적 등급,body,,정예,ELITE
codex.enemy.grade.boss,적 등급,body,,보스,BOSS
codex.enemy.ability.basic,적 능력 설명,body,,특수 능력이 없습니다.,NO SPECIAL ABILITY.
codex.enemy.ability.assault,적 능력 설명,body,,"신속 배치[br]생성 간격이 x{interval:0.##}로 변경됩니다.","RAPID DEPLOYMENT[br]SPAWN INTERVAL IS MULTIPLIED BY {interval:0.##}."
codex.enemy.ability.heavy,적 능력 설명,body,,"방어[br]처음 {hits}회의 피격 피해가 1로 감소합니다.","GUARD[br]THE FIRST {hits} HITS ARE REDUCED TO 1 DAMAGE."
codex.enemy.ability.medic,적 능력 설명,body,,"야전 치료[br]{cooldown:0.#}초마다 상하좌우로 인접한 적을 각각 {power} 회복합니다.","FIELD HEAL[br]EVERY {cooldown:0.#}s, HEALS EACH ORTHOGONALLY ADJACENT ENEMY BY {power}."
codex.enemy.ability.mechanic,적 능력 설명,body,,"시스템 정지[br]{cooldown:0.#}초마다 공격력이 가장 높은 터렛을 {duration:0.#}초 동안 정지시킵니다.","SYSTEM DISABLE[br]EVERY {cooldown:0.#}s, DISABLES THE HIGHEST-DAMAGE TURRET FOR {duration:0.#}s."
codex.enemy.ability.pointman,적 능력 설명,body,,"대형 진입[br]동료 {count}기와 함께 생성됩니다.","FORMATION ENTRY[br]SPAWNS TOGETHER WITH {count} COMPANIONS."
codex.enemy.ability.shield_bearer,적 능력 설명,body,,"방패 대형[br]최대 체력의 {armor:0.#}%만큼 방어력을 얻고 인접한 적의 피해를 대신 받습니다.","SHIELD FORMATION[br]STARTS WITH {armor:0.#}% MAX HP AS ARMOR AND TAKES DAMAGE FOR ADJACENT ENEMIES."
codex.enemy.ability.infiltrator,적 능력 설명,body,,은신[br]다른 유효한 대상이 있으면 일반 타겟 우선순위에서 제외됩니다.,STEALTH[br]EXCLUDED FROM NORMAL TARGET PRIORITY WHILE ANOTHER VALID TARGET EXISTS.
codex.enemy.empty_title,적 도감 빈 상태,title,,적 데이터 없음,NO ENEMY DATA
codex.enemy.empty_body,적 도감 빈 상태,body,,사용 가능한 적 정의가 없습니다.,NO ENEMY DEFINITIONS ARE AVAILABLE.
ui.dungeon.start.title,시작 터렛 선택 제목,title,,시작 터렛 선택,CHOOSE STARTING TURRET
ui.dungeon.start.description,시작 터렛 선택 설명,body,,3개 중 하나를 선택하세요.[br]첫 전투는 30초 튜토리얼입니다.,SELECT 1 OF 3 TURRETS[br]THE FIRST BATTLE IS A 30 SECOND TUTORIAL
ui.dungeon.start.error_title,시작 터렛 설정 오류 제목,title,,시작 터렛 설정 오류,STARTING TURRET SETUP ERROR
ui.dungeon.start.error_description,시작 터렛 설정 오류 설명,body,,서로 다른 터렛 3개가 필요합니다.[br]사용 가능한 정의: {count},3 DIFFERENT TURRETS ARE REQUIRED[br]AVAILABLE DEFINITIONS: {count}
ui.dungeon.start.retry,시작 터렛 다시 시도 버튼,body,,다시 시도,RETRY
ui.dungeon.result.clear_title,던전 클리어 제목,title,,던전 클리어,DUNGEON CLEAR
ui.dungeon.result.clear_description,던전 클리어 설명,body,,모든 전투 {count}회를 클리어했습니다.,ALL {count} BATTLES CLEARED
ui.dungeon.result.reset_description,던전 패배 설명,body,,이번 진행이 초기화되었습니다.[br]새 시작 터렛을 선택하세요.,THE RUN WAS RESET[br]CHOOSE A NEW STARTING TURRET
ui.dungeon.result.start_new_run,던전 결과 버튼,body,,새로 시작,START NEW RUN
ui.dungeon.result.return_main,던전 결과 버튼,body,,메인으로 돌아가기,RETURN TO MAIN
ui.dungeon.reward.title,던전 보상 선택 제목,title,,보상 선택,CHOOSE REWARD
ui.dungeon.reward.summary,던전 보상 선택 설명,body,,전투 {current} / {total} 클리어 (스케일 {scale})[br]다음 스케일 {next}[br]{count}개 중 하나를 선택하세요.,BATTLE {current} / {total} CLEAR (SCALE {scale})[br]NEXT SCALE {next}[br]CHOOSE 1 OF {count}
ui.dungeon.reward.category.energy,던전 보상 분류,title,,에너지 강화,ENERGY UPGRADE
ui.dungeon.reward.category.item,던전 보상 분류,title,,소모형 아이템,CONSUMABLE ITEM
ui.dungeon.reward.category.new_turret,던전 보상 분류,title,,새 터렛,NEW TURRET
ui.dungeon.reward.category.turret_upgrade,던전 보상 분류,title,,터렛 강화,TURRET UPGRADE
ui.dungeon.reward.category.turret_upgrade_slot,던전 보상 분류,number,,터렛 강화 | S{slot},TURRET UPGRADE | S{slot}
ui.dungeon.reward.category.starting_turret,던전 보상 분류,title,,시작 터렛,STARTING TURRET
ui.dungeon.reward.energy.max_title,에너지 보상 제목,title,,최대 에너지 +1,MAX ENERGY +1
ui.dungeon.reward.energy.recharge_title,에너지 보상 제목,title,,충전 시간 -0.5초,RECHARGE -0.5s
ui.dungeon.reward.energy.max_change,에너지 보상 설명,number,,최대 {before} → {after},MAX {before} → {after}
ui.dungeon.reward.energy.recharge_change,에너지 보상 설명,number,,{before:0.0}초 → {after:0.0}초,{before:0.0}s → {after:0.0}s
ui.dungeon.reward.run_footer,던전 보상 꼬리말,body,,이번 진행에 적용,APPLIES FOR THIS RUN
ui.dungeon.reward.item_footer,아이템 보상 꼬리말,number,,보유 x{owned} | 획득 x1,OWNED x{owned} | GAIN x1
ui.dungeon.reward.new_turret.empty_description,새 터렛 보상 설명,body,,새 터렛을 파티에 추가합니다.,ADD A NEW TURRET
ui.dungeon.reward.new_turret.fire_description,새 터렛 보상 설명,number,,화염 {duration:0.#}초[br]기술 대상 x{targets},FIRE {duration:0.#}s[br]SKILL TARGETS x{targets}
ui.dungeon.reward.new_turret.damage_description,새 터렛 보상 설명,number,,공격 {attack}[br]기술 {skill},ATK {attack}[br]SKILL {skill}
ui.dungeon.reward.new_turret.footer,새 터렛 보상 꼬리말,number,,기술 C{cost} | 공격 쿨다운 {cooldown:0.#}초,SKILL C{cost} | ATTACK CD {cooldown:0.#}s
ui.dungeon.reward.new_turret.empty_slot,새 터렛 보상 꼬리말,body,,빈 파티 슬롯 필요,EMPTY PARTY SLOT REQUIRED
ui.dungeon.reward.unknown_turret,던전 보상 오류 제목,title,,알 수 없는 터렛,UNKNOWN TURRET
ui.dungeon.reward.unknown_upgrade,던전 보상 오류 제목,title,,알 수 없는 강화,UNKNOWN UPGRADE
ui.dungeon.reward.turret_unavailable,던전 보상 오류 설명,body,,터렛 데이터를 사용할 수 없습니다.,TURRET DATA IS UNAVAILABLE
ui.dungeon.reward.permanent_footer,터렛 강화 보상 꼬리말,body,,이번 진행 동안 영구 적용,PERMANENT FOR THIS RUN
ui.dungeon.reward.start.random,시작 터렛 설명,number,,무작위 대상 x{count}[br]각각 공격 {attack},RANDOM TARGETS x{count}[br]ATK {attack} EACH
ui.dungeon.reward.start.cross,시작 터렛 설명,number,,십자 범위 공격[br]공격 {attack},CROSS AREA ATTACK[br]ATK {attack}
ui.dungeon.reward.start.fire,시작 터렛 설명,number,,화염 {duration:0.#}초[br]{damage} 피해 / {interval:0.#}초,FIRE {duration:0.#}s[br]{damage} DMG / {interval:0.#}s
ui.dungeon.reward.start.lowest,시작 터렛 설명,number,,최저 체력 대상[br]공격 {attack},LOWEST HEALTH TARGET[br]ATK {attack}
ui.dungeon.reward.start.footer,시작 터렛 꼬리말,number,,기술 C{cost} | 공격 쿨다운 {cooldown:0.#}초[br]클릭하여 시작,SKILL C{cost} | ATTACK CD {cooldown:0.#}s[br]CLICK TO START
ui.dungeon.reward.upgrade.fire_duration_title,터렛 강화 제목,title,,화염 지속시간,FIRE DURATION
ui.dungeon.reward.upgrade.attack_power_title,터렛 강화 제목,title,,공격력,ATTACK POWER
ui.dungeon.reward.upgrade.attack_speed_title,터렛 강화 제목,title,,공격속도,ATTACK SPEED
ui.dungeon.reward.upgrade.skill_targets_title,터렛 강화 제목,title,,기술 대상 수,SKILL TARGETS
ui.dungeon.reward.upgrade.skill_power_title,터렛 강화 제목,title,,기술 공격력,SKILL POWER
ui.dungeon.reward.upgrade.skill_cost_title,터렛 강화 제목,title,,기술 코스트,SKILL COST
ui.dungeon.reward.upgrade.generic_title,터렛 강화 제목,title,,터렛 강화,TURRET UPGRADE
ui.dungeon.reward.upgrade.fire_duration_change,터렛 강화 설명,number,,화염 지속시간 {before:0.#}초 → {after:0.#}초,FIRE DURATION {before:0.#}s → {after:0.#}s
ui.dungeon.reward.upgrade.attack_change,터렛 강화 설명,number,,공격 {before} → {after},ATTACK {before} → {after}
ui.dungeon.reward.upgrade.cooldown_change,터렛 강화 설명,number,,쿨다운 {before:0.#}초 → {after:0.#}초,COOLDOWN {before:0.#}s → {after:0.#}s
